name,price,features,image
Intel Core i9 14900F 14th Gen Raptor Lake Processor,Up Coming,"Clock Speed: 4.3 GHz up to 5.8 GHz, Cache: 36 MB Intel Smart Cache, CPU Cores: 24; CPU Threads: 32, Socket: LGA1700",Intel Core i9 14900F 14th Gen Raptor Lake Processor.jpg
Intel Core i7 14700F 14th Gen Raptor Lake Processor,Up Coming,"Clock Speed: 4.2 GHz up to 5.4 GHz, Cache: 33 MB Intel Smart Cache, CPU Cores: 20; CPU Threads: 28, Socket: LGA1700",Intel Core i7 14700F 14th Gen Raptor Lake Processor.jpg
Intel Core i3 14100F 14th Gen Raptor Lake Processor,Up Coming,"Clock Speed: 3.5 GHz up to 4.7 GHz, Cache: 12 MB Intel Smart Cache, CPU Cores: 4; CPU Threads: 8, Socket: LGA1700",Intel Core i3 14100F 14th Gen Raptor Lake Processor.jpg
Intel Pentium Gold G7400 Alder Lake Processor,"7,499৳ 7,900৳","Base Clock Speed: 3.70 GHz, Cache: 6 MB Intel Smart Cache, Socket: LGA 1700, CPU Cores: 2, CPU Threads: 4, Intel UHD Graphics 710",Intel Pentium Gold G7400 Alder Lake Processor.jpg
Intel 10th Gen Core i3 10100F Processor,"7,900৳","Socket  Supported FCLGA1200, Speed 3.60 up to 4.30 GHz, Cores- 4 & Threads- 8, 6M Intel Smart  Cache",Intel 10th Gen Core i3 10100F Processor.jpg
Intel Core i3 10105F 10th Gen Processor,Out Of Stock,"Socket  Supported FCLGA1200, Speed 3. 70 up to 4.40 GHz, Cores- 4 & Threads- 8, 6M Cache",Intel Core i3 10105F 10th Gen Processor.jpg
Intel Pentium Gold G6405 Coffee Lake Processor,"8,800৳","Socket Supported FCLGA1200, Speed 4.10 GHz, Cores- 2 & Threads- 4, 4M Intel Smart Cache, Intel UHD Graphics 610",Intel Pentium Gold G6405 Coffee Lake Processor.jpg
Intel 5th Gen Core i7 5930K Processor,"9,900৳ 17,000৳","Clock Speed: up to 3.70 GHz, Cache: 15MB Intel Smart Cache, Cores: 6, Threads: 12, Socket: LGA2011",Intel 5th Gen Core i7 5930K Processor.jpg
Intel Core i3-12100F 12th Gen Alder Lake Processor,Up Coming,"Clock Speed: 3.30 GHz Up to 4.30 GHz, Cache: 12MB, Socket: LGA 1700, CPU Cores: 4, CPU Threads: 8, Max Memory Size: 128 GB",Intel Core i3-12100F 12th Gen Alder Lake Processor.jpg
Intel Core i3-12100 12th Gen Alder Lake Processor (Tray),"11,200৳","Clock Speed: 3.30 GHz Up to 4.30 GHz, Cache: 12MB, Socket: LGA 1700, CPU Cores: 4, CPU Threads: 8, Graphic: Intel UHD Graphics 730",Intel Core i3-12100 12th Gen Alder Lake Processor (Tray).jpg
Intel Core i3-12100 12th Gen Alder Lake Processor,"11,200৳ 11,500৳","Clock Speed: 3.30 GHz Up to 4.30 GHz, Cache: 12MB, Socket: LGA 1700, CPU Cores: 4, CPU Threads: 8, Graphic: Intel UHD Graphics 730",Intel Core i3-12100 12th Gen Alder Lake Processor.jpg
Intel 10th Gen Core i3 10100 Processor,"11,500৳","Socket  Supported FCLGA1200, Speed 3.60 up to 4.30 GHz, Cores- 4 & Threads- 8, 6M Cache",Intel 10th Gen Core i3 10100 Processor.jpg
Intel 10th Gen Core i5-10400F Processor,"11,500৳","Clock Speed:2.90 GHz up to 4.30 GHz, Cores-6 & Threads-12, 12 MB SmartCache, Memory Types: DDR4-2666",Intel 10th Gen Core i5-10400F Processor.jpg
Intel Core i3 10105 10th Gen Comet Lake Processor,"11,800৳ 12,500৳","Socket Supported FCLGA1200, Speed 3.70 GHz up to 4.40 GHz, Cores- 4 & Threads- 8, 6M Cache, Intel UHD Graphics 630",Intel Core i3 10105 10th Gen Comet Lake Processor.jpg
Intel 11th Gen Core i5-11400F Rocket Lake Processor,"14,000৳","Clock Speed: 2.60 GHz Up to 4.40 GHz, Cache: 12 MB, Socket: LGA 1200, CPU Cores: 6, CPU Threads: 12, Max RAM Size: 128 GB",Intel 11th Gen Core i5-11400F Rocket Lake Processor.jpg
Intel 11th Gen Core i5-11400 Rocket Lake Processor,"14,500৳","Clock Speed: 2.60 GHz Up to 4.40 GHz, Cache: 12 MB, Socket: LGA 1200, CPU Cores: 6, CPU Threads: 12, GPU name: Intel UHD Graphics 730",Intel 11th Gen Core i5-11400 Rocket Lake Processor.jpg
Intel 13th Gen Core i3-13100 Raptor Lake Processor,"15,000৳ 17,500৳","Clock Speed: 3.40 GHz up to 4.50 GHz, Cores: 4, Threads: 8, Cache: 12 MB, Socket: LGA 1700",Intel 13th Gen Core i3-13100 Raptor Lake Processor.jpg
Intel 10th Gen Core i5-10400 Processor,"15,500৳","Clock Speed:2.90 GHz up to 4.30 GHz, Cores-6 & Threads-12, 12 MB SmartCache, Intel UHD Graphics 630",Intel 10th Gen Core i5-10400 Processor.jpg
Intel 12th Gen Core i5-12400F Alder Lake Processor,"15,600৳","Base Clock Speed: 2.50 GHz Up to 4.40 GHz, Cache: 18 MB Intel Smart Cache, CPU Cores: 6, CPU Threads: 12, Supported Socket: LGA 1700",Intel 12th Gen Core i5-12400F Alder Lake Processor.jpg
Intel 10th Gen Core i5-10500 Processor,"15,800৳","Clock Speed: 3.10 GHz up to 4.50 GHz, Cores-6 & Threads-12, 12 MB SmartCache, Intel UHD Graphics 630",Intel 10th Gen Core i5-10500 Processor.jpg
Intel 12th Gen Core i5-12400 Alder Lake Processor,"18,200৳","Clock Speed: 2.50 GHz Up to 4.40 GHz, Cache: 18MB, Socket: LGA 1700, CPU Cores: 6, CPU Threads: 12, Graphic: Intel UHD Graphics 730",Intel 12th Gen Core i5-12400 Alder Lake Processor.jpg
Intel Core i3 14100 14th Gen Raptor Lake Processor,"18,500৳","Clock Speed: 3.5 GHz up to 4.7 GHz, Cache: 12 MB, Socket: LGA1700, CPU Cores: 4; CPU Threads: 8, Intel UHD Graphics 730",Intel Core i3 14100 14th Gen Raptor Lake Processor.jpg
